features
HOME_FG2M_L5
HOME_FG2A_L5
HOME_FG3M_L5
HOME_FG3A_L5
HOME_FTM_L5
HOME_FTA_L5
HOME_OREB_L5
HOME_DREB_L5
HOME_REB_L5
HOME_AST_L5
HOME_STL_L5
HOME_BLK_L5
HOME_TOV_L5
HOME_PF_L5
HOME_PTS_L5
HOME_PLUS_MINUS_L5
HOME_OFF_RATING_L5
HOME_DEF_RATING_L5
HOME_NET_RATING_L5
HOME_PACE_L5
HOME_POSS_L5
HOME_DIST_L5
HOME_ORBC_L5
HOME_DRBC_L5
HOME_RBC_L5
HOME_TCHS_L5
HOME_SAST_L5
HOME_FTAST_L5
HOME_PASS_L5
HOME_CFGM_L5
HOME_CFGA_L5
HOME_UFGM_L5
HOME_UFGA_L5
HOME_DFGM_L5
HOME_DFGA_L5
HOME_PTS_2PT_MR_L5
HOME_PTS_FB_L5
HOME_PTS_OFF_TOV_L5
HOME_PTS_PAINT_L5
HOME_AST_2PM_L5
HOME_AST_3PM_L5
HOME_UAST_2PM_L5
HOME_UAST_3PM_L5
HOME_FG2M_opp_L5
HOME_FG2A_opp_L5
HOME_FG3M_opp_L5
HOME_FG3A_opp_L5
HOME_FTM_opp_L5
HOME_FTA_opp_L5
HOME_OREB_opp_L5
HOME_DREB_opp_L5
HOME_REB_opp_L5
HOME_AST_opp_L5
HOME_STL_opp_L5
HOME_BLK_opp_L5
HOME_TOV_opp_L5
HOME_PF_opp_L5
HOME_PTS_opp_L5
HOME_PLUS_MINUS_opp_L5
HOME_OFF_RATING_opp_L5
HOME_DEF_RATING_opp_L5
HOME_NET_RATING_opp_L5
HOME_PACE_opp_L5
HOME_POSS_opp_L5
HOME_DIST_opp_L5
HOME_ORBC_opp_L5
HOME_DRBC_opp_L5
HOME_RBC_opp_L5
HOME_TCHS_opp_L5
HOME_SAST_opp_L5
HOME_FTAST_opp_L5
HOME_PASS_opp_L5
HOME_CFGM_opp_L5
HOME_CFGA_opp_L5
HOME_UFGM_opp_L5
HOME_UFGA_opp_L5
HOME_DFGM_opp_L5
HOME_DFGA_opp_L5
HOME_PTS_2PT_MR_opp_L5
HOME_PTS_FB_opp_L5
HOME_PTS_OFF_TOV_opp_L5
HOME_PTS_PAINT_opp_L5
HOME_AST_2PM_opp_L5
HOME_AST_3PM_opp_L5
HOME_UAST_2PM_opp_L5
HOME_UAST_3PM_opp_L5
HOME_AVG_ATS_DIFF_L5
HOME_WIN_PCT_L5
HOME_COVER_PCT_L5
HOME_OREB_PCT_L5
HOME_OREB_PCT_opp_L5
HOME_DREB_PCT_L5
HOME_DREB_PCT_opp_L5
HOME_REB_PCT_L5
HOME_REB_PCT_opp_L5
HOME_TS_PCT_L5
HOME_TS_PCT_opp_L5
HOME_EFG_PCT_L5
HOME_EFG_PCT_opp_L5
HOME_AST_RATIO_L5
HOME_AST_RATIO_opp_L5
HOME_TOV_PCT_L5
HOME_TOV_PCT_opp_L5
HOME_PIE_L5
HOME_FG2M_L10
HOME_FG2A_L10
HOME_FG3M_L10
HOME_FG3A_L10
HOME_FTM_L10
HOME_FTA_L10
HOME_OREB_L10
HOME_DREB_L10
HOME_REB_L10
HOME_AST_L10
HOME_NET_RATING_L10
HOME_POSS_L10
HOME_DIST_L10
HOME_ORBC_L10
HOME_DRBC_L10
HOME_FTAST_L10
HOME_AST_2PM_L10
HOME_AST_3PM_L10
HOME_UAST_2PM_L10
HOME_FG2M_opp_L10
HOME_FTA_opp_L10
HOME_DFGA_opp_L10
HOME_TOV_PCT_L10
HOME_FG3A_L20
HOME_PF_L20
HOME_PLUS_MINUS_L20
HOME_DIST_L20
HOME_ORBC_L20
HOME_CFGA_L20
HOME_FG3A_opp_L20
HOME_PLUS_MINUS_opp_L20
HOME_SAST_opp_L20
HOME_FTAST_opp_L20
HOME_AVG_ATS_DIFF_L20
HOME_WIN_PCT_L20
HOME_TOV_PCT_L20
HOME_PIE_L20
HOME_REST
AWAY_ML
AWAY_FG2M_L5
AWAY_FG3A_L5
AWAY_FTM_L5
AWAY_REB_L5
AWAY_STL_L5
AWAY_BLK_L5
AWAY_ORBC_L5
AWAY_UFGM_L5
AWAY_PTS_PAINT_L5
AWAY_UAST_2PM_L5
AWAY_FG3A_opp_L5
AWAY_FTA_opp_L5
AWAY_STL_opp_L5
AWAY_BLK_opp_L5
AWAY_FTAST_opp_L5
AWAY_UFGM_opp_L5
AWAY_UFGA_opp_L5
AWAY_DFGA_opp_L5
AWAY_PTS_2PT_MR_opp_L5
AWAY_PTS_FB_opp_L5
AWAY_PTS_OFF_TOV_opp_L5
AWAY_PTS_PAINT_opp_L5
AWAY_AST_2PM_opp_L5
AWAY_AST_3PM_opp_L5
AWAY_UAST_2PM_opp_L5
AWAY_UAST_3PM_opp_L5
AWAY_AVG_ATS_DIFF_L5
AWAY_WIN_PCT_L5
AWAY_COVER_PCT_L5
AWAY_OREB_PCT_L5
AWAY_OREB_PCT_opp_L5
AWAY_DREB_PCT_L5
AWAY_DREB_PCT_opp_L5
AWAY_TS_PCT_L5
AWAY_EFG_PCT_L5
AWAY_AST_RATIO_L5
AWAY_TOV_PCT_L5
AWAY_FG2M_L10
AWAY_FG2A_L10
AWAY_FG3M_L10
AWAY_FG3A_L10
AWAY_FTM_L10
AWAY_FTA_L10
AWAY_OREB_L10
AWAY_DREB_L10
AWAY_REB_L10
AWAY_AST_L10
AWAY_STL_L10
AWAY_BLK_L10
AWAY_TOV_L10
AWAY_PF_L10
AWAY_PTS_L10
AWAY_PLUS_MINUS_L10
AWAY_OFF_RATING_L10
AWAY_DEF_RATING_L10
AWAY_NET_RATING_L10
AWAY_PACE_L10
AWAY_POSS_L10
AWAY_DIST_L10
AWAY_ORBC_L10
AWAY_DRBC_L10
AWAY_RBC_L10
AWAY_TCHS_L10
AWAY_SAST_L10
AWAY_FTAST_L10
AWAY_PASS_L10
AWAY_CFGM_L10
AWAY_CFGA_L10
AWAY_UFGM_L10
AWAY_UFGA_L10
AWAY_DFGM_L10
AWAY_DFGA_L10
AWAY_PTS_2PT_MR_L10
AWAY_PTS_FB_L10
AWAY_PTS_OFF_TOV_L10
AWAY_PTS_PAINT_L10
AWAY_AST_2PM_L10
AWAY_AST_3PM_L10
AWAY_UAST_2PM_L10
AWAY_UAST_3PM_L10
AWAY_FG2M_opp_L10
AWAY_FG2A_opp_L10
AWAY_FG3M_opp_L10
AWAY_FG3A_opp_L10
AWAY_FTM_opp_L10
AWAY_FTA_opp_L10
AWAY_OREB_opp_L10
AWAY_DREB_opp_L10
AWAY_REB_opp_L10
AWAY_AST_opp_L10
AWAY_STL_opp_L10
AWAY_TOV_opp_L10
AWAY_PF_opp_L10
AWAY_PTS_opp_L10
AWAY_PLUS_MINUS_opp_L10
AWAY_OFF_RATING_opp_L10
AWAY_DEF_RATING_opp_L10
AWAY_PACE_opp_L10
AWAY_POSS_opp_L10
AWAY_DIST_opp_L10
AWAY_ORBC_opp_L10
AWAY_RBC_opp_L10
AWAY_TCHS_opp_L10
AWAY_SAST_opp_L10
AWAY_PASS_opp_L10
AWAY_CFGA_opp_L10
AWAY_UFGM_opp_L10
AWAY_WIN_PCT_L10
AWAY_COVER_PCT_L10
AWAY_EFG_PCT_L10
AWAY_FG2A_L20
AWAY_FG3A_L20
AWAY_FTM_L20
AWAY_RBC_L20
AWAY_TCHS_L20
AWAY_FTAST_L20
AWAY_DFGA_L20
AWAY_PTS_2PT_MR_L20
AWAY_PTS_FB_L20
AWAY_FG2A_opp_L20
AWAY_FG3M_opp_L20
AWAY_REB_opp_L20
