stat,window,avg_type,mae,rmse,r2
FG2M,26.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,27.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,28.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,29.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,30.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,31.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,32.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,33.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,34.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,35.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,36.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,37.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,38.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,39.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,40.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,41.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,42.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,43.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,44.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,45.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,46.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,47.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,48.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,49.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,50.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2A,17.0,ewma,6.07920379537821,7.667955493814446,0.3685677706215148
FG2A,18.0,ewma,6.075427584520435,7.663260265394037,0.36934080872165076
FG2A,19.0,ewma,6.0724202417135755,7.659515378651467,0.3699570399581422
FG2A,20.0,ewma,6.0700184312423,7.656565737339939,0.370442199350265
FG2A,21.0,ewma,6.068108200154222,7.654286848201587,0.37081690492275965
FG2A,22.0,ewma,6.066654745064254,7.652577765444564,0.3710978470793259
FG2A,23.0,ewma,6.065595539824349,7.6513558790321605,0.3712986645476364
FG2A,24.0,ewma,6.064835793960367,7.650553012464312,0.37143059849729143
FG2A,25.0,ewma,6.064321875476862,7.650112464738675,0.3715029872113843
FG2A,26.0,ewma,6.064029609517214,7.649986742512305,0.3715236445271567
FG2A,27.0,ewma,6.06393900841282,7.650135803191732,0.3714991524519683
